gram,count,category_1,category_2,category_3,hide
isaora 3l service,1,,,,
3l service shell,1,,,,
sportcoat,1,,,,
isaora tech,1,,,,
tech 3l,1,,,,
3l sportcoat,1,,,,
isaora tech 3l,1,,,,
tech 3l sportcoat,1,,,,
neo,3,,,,
isaora neo,3,,,,
neo bomber,1,,,,
isaora neo bomber,1,,,,
m65,1,,,,
3l m65,1,,,,
m65 tech,1,,,,
tech shell,1,,,,
isaora 3l m65,1,,,,
3l m65 tech,1,,,,
m65 tech shell,1,,,,
storm,7,,,,
moto,14,,,,
3l storm,1,,,,
storm moto,1,,,,
moto shell,1,,,,
isaora 3l storm,1,,,,
3l storm moto,1,,,,
storm moto shell,1,,,,
reversible,6,,,,
isaora reversible,1,,,,
reversible insulated,1,,,,
insulated bomber,1,,,,
isaora reversible insulated,1,,,,
reversible insulated bomber,1,,,,
insulated bomber jacket,1,,,,
neo zip,1,,,,
up hoodie,2,,,,
isaora neo zip,1,,,,
neo zip up,1,,,,
zip up hoodie,1,,,,
flight,30,,,,
isaora g,1,,,,
g 1,1,,,,
1 flight,7,,,,
flight jacket,13,,,,
isaora g 1,1,,,,
g 1 flight,1,,,,
1 flight jacket,5,,,,
isaora storm,1,,,,
storm parka,1,,,,
isaora storm parka,1,,,,
nanolight,1,,,,
down,45,,,,
v,80,,,,
isaora nanolight,1,,,,
nanolight down,1,,,,
down overshirt,1,,,,
overshirt v,1,,,,
v 2,2,,,,
isaora nanolight down,1,,,,
nanolight down overshirt,1,,,,
down overshirt v,1,,,,
overshirt v 2,1,,,,
merino,8,,,,
thermal,20,,,,
isaora merino,6,,,,
merino thermal,1,,,,
thermal sweater,1,,,,
isaora merino thermal,1,,,,
merino thermal sweater,1,,,,
naval,1,,,,
merino naval,1,,,,
naval sweater,1,,,,
isaora merino naval,1,,,,
merino naval sweater,1,,,,
synth,3,,,,
isaora synth,1,,,,
synth sweater,1,,,,
isaora synth sweater,1,,,,
cam,1,,,,
com,1,,,,
isaora cam,1,,,,
cam com,1,,,,
com down,1,,,,
down jacket,3,,,,
isaora cam com,1,,,,
cam com down,1,,,,
com down jacket,1,,,,
oxford,14,,,,
insulated oxford,1,,,,
oxford shirt,1,,,,
isaora insulated oxford,1,,,,
insulated oxford shirt,1,,,,
metropolis,1,,,,
isaora metropolis,1,,,,
metropolis down,1,,,,
isaora metropolis down,1,,,,
metropolis down jacket,1,,,,
chambray,11,,,,
insulated chambray,1,,,,
chambray shirt,1,,,,
isaora insulated chambray,1,,,,
insulated chambray shirt,1,,,,
insulated shirt,1,,,,
isaora insulated shirt,1,,,,
field,89,,,,
isaora field,3,,,,
field hoodie,1,,,,
isaora field hoodie,1,,,,
field sweatshirt,1,,,,
isaora field sweatshirt,1,,,,
ltw,3,,,,
tek,2,,,,
lux,5,,,,
isaora ltw,3,,,,
ltw tek,2,,,,
tek lux,2,,,,
lux hoody,1,,,,
isaora ltw tek,2,,,,
ltw tek lux,2,,,,
tek lux hoody,1,,,,
lux crewneck,1,,,,
crewneck sweatshirt,25,,,,
tek lux crewneck,1,,,,
lux crewneck sweatshirt,1,,,,
mission,3,,,,
cargo,86,,,,
isaora mission,1,,,,
mission cargo,1,,,,
cargo pant,28,,,,
isaora mission cargo,1,,,,
mission cargo pant,1,,,,
stretch,28,,,,
isaora stretch,1,,,,
stretch chino,1,,,,
isaora stretch chino,1,,,,
bonded,6,,,,
sweatpant,35,,,,
neo bonded,1,,,,
bonded sweatpant,1,,,,
isaora neo bonded,1,,,,
neo bonded sweatpant,1,,,,
field sweatpant,1,,,,
isaora field sweatpant,1,,,,
legging,1,,,,
merino legging,1,,,,
isaora merino legging,1,,,,
merino long,1,,,,
sleeve t,24,,,,
isaora merino long,1,,,,
merino long sleeve,1,,,,
long sleeve t,22,,,,
sleeve t shirt,24,,,,
merino t,1,,,,
isaora merino t,1,,,,
merino t shirt,1,,,,
gift,170,,,,
card,91,,,,
isaora isaora,1,,,,
isaora gift,1,,,,
gift card,60,,,,
isaora isaora gift,1,,,,
isaora gift card,1,,,,
underwear,85,,,,
merino underwear,1,,,,
