"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Age Group","Google Shopping / Gender","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code"
"tri-color-tee-ice-coffe","Tri Color Tee","<h6>Description</h6>
<p>Slim fit, featuring super soft <span>Spun cotton</span>, crew neck and short sleeves.</p>
<h6>Details</h6>
<p>22/1 Soft SpunCotton / Polyester blend 4.8 oz / 165 gram</p>
<h6>Size Guide</h6>
<p><img src=""//cdn.shopify.com/s/files/1/0750/4121/files/Screen_Shot_2016-03-09_at_3.23.12_PM_large_815081ed-f8a3-47a0-adbc-d1a023d54482_large.png?v=1487856755"" alt=""""></p>","LA FAMILIA MMXIV","TEE","20-40, doublestandard, TEE, TRI COLOR TEE","FALSE","Size","S","Color","ICE COFFE",,,"LFCO17SS003-ICC-S",0,"shopify",0,"deny","manual",21.99,,"TRUE","TRUE",888236562482,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"TRI COLOR TEE",,,"New",,,,,,,,"lb",
"tri-color-tee-ice-coffe",,,,,,,,"M",,"ICE COFFE",,,"LFCO17SS003-ICC-M",0,"shopify",0,"deny","manual",21.99,,"TRUE","TRUE",888236562499,,,,,,,,,,,,,,,,,,,,,"lb",
"tri-color-tee-ice-coffe",,,,,,,,"L",,"ICE COFFE",,,"LFCO17SS003-ICC-L",0,"shopify",0,"deny","manual",21.99,,"TRUE","TRUE",888236562505,,,,,,,,,,,,,,,,,,,,,"lb",
"tri-color-tee-ice-coffe",,,,,,,,"XL",,"ICE COFFE",,,"LFCO17SS003-ICC-XL",0,"shopify",0,"deny","manual",21.99,,"TRUE","TRUE",888236562512,,,,,,,,,,,,,,,,,,,,,"lb",
"tri-color-tee-ice-coffe",,,,,,,,"2XL",,"ICE COFFE",,,"LFCO17SS003-ICC-2XL",0,"shopify",0,"deny","manual",21.99,,"TRUE","TRUE",888236562529,,,,,,,,,,,,,,,,,,,,,"lb",
"tri-color-tee-sangria","Tri Color Tee","<h6>Description</h6>
<p>Slim fit, featuring super soft <span>Spun cotton</span>, crew neck and short sleeves.</p>
<h6>Details</h6>
<p>22/1 Soft SpunCotton / Polyester blend 4.8 oz / 165 gram</p>
<h6>Size Guide</h6>
<p><img src=""//cdn.shopify.com/s/files/1/0750/4121/files/Screen_Shot_2016-03-09_at_3.23.12_PM_large_815081ed-f8a3-47a0-adbc-d1a023d54482_large.png?v=1487856755"" alt=""""></p>","LA FAMILIA MMXIV","TEE","20-40, doublestandard, TEE, TRI COLOR TEE","FALSE","Size","S","Color","SANGRIA",,,"LFCO17SS003-SAG-S",0,"shopify",0,"deny","manual",21.99,,"TRUE","TRUE",888236562437,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"TRI COLOR TEE",,,"New",,,,,,,,"lb",
"tri-color-tee-sangria",,,,,,,,"M",,"SANGRIA",,,"LFCO17SS003-SAG-M",0,"shopify",0,"deny","manual",21.99,,"TRUE","TRUE",888236562444,,,,,,,,,,,,,,,,,,,,,"lb",
"tri-color-tee-sangria",,,,,,,,"L",,"SANGRIA",,,"LFCO17SS003-SAG-L",0,"shopify",0,"deny","manual",21.99,,"TRUE","TRUE",888236562451,,,,,,,,,,,,,,,,,,,,,"lb",
"tri-color-tee-sangria",,,,,,,,"XL",,"SANGRIA",,,"LFCO17SS003-SAG-XL",0,"shopify",0,"deny","manual",21.99,,"TRUE","TRUE",888236562468,,,,,,,,,,,,,,,,,,,,,"lb",
"tri-color-tee-sangria",,,,,,,,"2XL",,"SANGRIA",,,"LFCO17SS003-SAG-2XL",0,"shopify",0,"deny","manual",21.99,,"TRUE","TRUE",888236562475,,,,,,,,,,,,,,,,,,,,,"lb",
"tri-color-tee-blueberry","Tri Color Tee","<h6>Description</h6>
<p>Slim fit, featuring super soft <span>Spun cotton</span>, crew neck and short sleeves.</p>
<h6>Details</h6>
<p>22/1 Soft SpunCotton / Polyester blend 4.8 oz / 165 gram</p>
<h6>Size Guide</h6>
<p><img src=""//cdn.shopify.com/s/files/1/0750/4121/files/Screen_Shot_2016-03-09_at_3.23.12_PM_large_815081ed-f8a3-47a0-adbc-d1a023d54482_large.png?v=1487856755"" alt=""""></p>","LA FAMILIA MMXIV","TEE","20-40, doublestandard, TEE, TRI COLOR TEE","FALSE","Size","S","Color","BLUEBERRY",,,"LFCO17SS003-BLP-S",0,"shopify",0,"deny","manual",21.99,,"TRUE","TRUE",888236562383,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"TRI COLOR TEE",,,"New",,,,,,,,"lb",
"tri-color-tee-blueberry",,,,,,,,"M",,"BLUEBERRY",,,"LFCO17SS003-BLP-M",0,"shopify",0,"deny","manual",21.99,,"TRUE","TRUE",888236562390,,,,,,,,,,,,,,,,,,,,,"lb",
"tri-color-tee-blueberry",,,,,,,,"L",,"BLUEBERRY",,,"LFCO17SS003-BLP-L",0,"shopify",0,"deny","manual",21.99,,"TRUE","TRUE",888236562406,,,,,,,,,,,,,,,,,,,,,"lb",
"tri-color-tee-blueberry",,,,,,,,"XL",,"BLUEBERRY",,,"LFCO17SS003-BLP-XL",0,"shopify",0,"deny","manual",21.99,,"TRUE","TRUE",888236562413,,,,,,,,,,,,,,,,,,,,,"lb",
"tri-color-tee-blueberry",,,,,,,,"2XL",,"BLUEBERRY",,,"LFCO17SS003-BLP-2XL",0,"shopify",0,"deny","manual",21.99,,"TRUE","TRUE",888236562420,,,,,,,,,,,,,,,,,,,,,"lb",
"tri-color-tee-pepper","Tri Color Tee","<h6>Description</h6>
<p>Slim fit, featuring super soft <span>Spun cotton</span>, crew neck and short sleeves.</p>
<h6>Details</h6>
<p>22/1 Soft SpunCotton / Polyester blend 4.8 oz / 165 gram</p>
<h6>Size Guide</h6>
<p><img src=""//cdn.shopify.com/s/files/1/0750/4121/files/Screen_Shot_2016-03-09_at_3.23.12_PM_large_815081ed-f8a3-47a0-adbc-d1a023d54482_large.png?v=1487856755"" alt=""""></p>","LA FAMILIA MMXIV","TEE","20-40, doublestandard, TEE, TRI COLOR TEE","FALSE","Size","S","Color","PEPPER",,,"LFCO17SS003-PEP-S",0,"shopify",0,"deny","manual",21.99,,"TRUE","TRUE",888236562338,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"TRI COLOR TEE",,,"New",,,,,,,,"lb",
"tri-color-tee-pepper",,,,,,,,"M",,"PEPPER",,,"LFCO17SS003-PEP-M",0,"shopify",0,"deny","manual",21.99,,"TRUE","TRUE",888236562345,,,,,,,,,,,,,,,,,,,,,"lb",
"tri-color-tee-pepper",,,,,,,,"L",,"PEPPER",,,"LFCO17SS003-PEP-L",0,"shopify",0,"deny","manual",21.99,,"TRUE","TRUE",888236562352,,,,,,,,,,,,,,,,,,,,,"lb",
